WHR,Schiz,PrCa,Neur,IBD,BMI,BrCa,Face,FaceEAS,FaceEUR
,191076.2,,269764,,,,157792.2,,
,63653,,449756,,,,224408,,
,147654.6,,425246,,,,39599.4,,
,455400,,287312,,,,341932,,
,382888,,255608,,,,76234.2,,
,50303.4,,262746,,,,56286.4,,
,81326.2,,137370.4,,,,308326,,
,83999.4,,79232.8,,,,260016,,
,86919.4,,348824,,,,298968,,
,140992,,44973.8,,,,315272,,
,302276,,152893.2,,,,93114,,
,,,40192,,,,57255.6,,
,,,216960,,,,726402,,
,,,126358.4,,,,223720,,
,,,43796.6,,,,98268.2,,
,,,50828.8,,,,73738.6,,
,,,60528.8,,,,100485.2,,
,,,418732,,,,286024,,
,,,239464,,,,95831.4,,
,,,806652,,,,112072.8,,
,,,252342,,,,63399.6,,
,,,256666,,,,296428,,
,,,85609.4,,,,103762.4,,
,,,270190,,,,440944,,
,,,50261.6,,,,64205.8,,
,,,105850.6,,,,258392,,
,,,267064,,,,176887.8,,
,,,,,,,306400,,
,,,,,,,100568.8,,
,,,,,,,36871,,
,,,,,,,373890,,
,,,,,,,146623,,
,,,,,,,315718,,
,,,,,,,284926,,
,,,,,,,77747,,
,,,,,,,200884,,
,,,,,,,121028.6,,
,,,,,,,43869.6,,
,,,,,,,35642.2,,
,,,,,,,47314.8,,
,,,,,,,79226,,
,,,,,,,402072,,
,,,,,,,276922,,
,,,,,,,42915.8,,
,,,,,,,191824.4,,
,,,,,,,61605.2,,
,,,,,,,245430,,
,,,,,,,266104,,
,,,,,,,163340.6,,
,,,,,,,76638.8,,
,,,,,,,272696,,
,,,,,,,619690,,
,,,,,,,176638,,
,,,,,,,60304.4,,
,,,,,,,73099.6,,
,,,,,,,452332,,
,,,,,,,202656,,
,,,,,,,26991,,
,,,,,,,344654,,
,,,,,,,0,,
